cable_id,date,origin,destination,classification,subject,priority
CABLE-2026-001,2026-01-15,EMBASSY-LONDON,STATE-DEPT,UNCLASSIFIED,Trade Agreement Update,ROUTINE
CABLE-2026-002,2026-01-16,EMBASSY-PARIS,STATE-DEPT,UNCLASSIFIED,Cultural Exchange Program,ROUTINE
CABLE-2026-003,2026-01-17,EMBASSY-BERLIN,STATE-DEPT,UNCLASSIFIED,NATO Summit Logistics,PRIORITY
CABLE-2026-004,2026-01-18,EMBASSY-TOKYO,STATE-DEPT,UNCLASSIFIED,Economic Cooperation Framework,ROUTINE
CABLE-2026-005,2026-01-19,EMBASSY-OTTAWA,STATE-DEPT,UNCLASSIFIED,Border Security Coordination,PRIORITY
CABLE-2026-006,2026-01-20,EMBASSY-CANBERRA,STATE-DEPT,UNCLASSIFIED,Five Eyes Intelligence Sharing,ROUTINE
CABLE-2026-007,2026-01-21,EMBASSY-SEOUL,STATE-DEPT,UNCLASSIFIED,Peninsula Stability Assessment,PRIORITY
CABLE-2026-008,2026-01-22,EMBASSY-BRASILIA,STATE-DEPT,UNCLASSIFIED,Amazon Conservation Initiative,ROUTINE
CABLE-2026-009,2026-01-23,EMBASSY-CAIRO,STATE-DEPT,UNCLASSIFIED,Regional Stability Report,ROUTINE
CABLE-2026-010,2026-01-24,EMBASSY-NAIROBI,STATE-DEPT,UNCLASSIFIED,Humanitarian Aid Coordination,PRIORITY
