shadowed_migration,version,shadowed_by
010_network_intelligence_schema,10,010_kanban_executor_schema
018_reflex_observations.py,18,018_memory_db_consolidation
019_kanban_verifications,19,019_backlog_task_reassign.py
020_nc_topologies_schema.py,20,020_kanban_failure_count
020_options_coach_events,20,020_kanban_failure_count
021_dispatch_source,21,021_ad_macro_regimes
021_sg_sigint_events.py,21,021_ad_macro_regimes
022_sg_eo_signals.py,22,022_ad_event_stack_tables
023_sg_socmint_signals.py,23,023_ad_news_patterns
024_telegram_inbox.py,24,024_ad_news_catalysts
027_compliance_snapshots,27,027_ad_coach_alerts
028_idc_infra_tables,28,028_attack_graph
031_network_twin_snapshots,31,031_ddc_twin_tables
043_memory_fingerprint,43,043_memory_entity_relationships
050_theater_supply_chain,50,050_sg_sio_assessments
052_sg_raw_signals,52,052_sg_conflict_events
055_sg_conflict_events_cyber_op,55,055_cta_scores_cache.sql
055_sg_information_signals,55,055_cta_scores_cache.sql
056_sg_prioritized_signals,56,056_historical_cases
056_win_loss_analysis_tables.sql,56,056_historical_cases
057_sg_raw_signals_processed,57,057_ad_backtest_runs.sql
057_sg_sc_graph,57,057_ad_backtest_runs.sql
057_sg_signals_actions,57,057_ad_backtest_runs.sql
064_sg_pattern_learner_log,64,064_sg_hitl_items_type
078_workflow_hitl,78,078_ad_decision_audit
083_sg_multidomain_tracks,83,083_cyber_ext_columns
084_wne_sessions,84,084_aisg_wizard.sql
085_aisg_learning_tracks,85,085_aadc_versions.sql
085_sg_ccir_trigger_events,85,085_aadc_versions.sql
086_sg_intsums,86,086_aadc_events.sql
107_sg_theaters,107,107_aadc_phase5.sql
108_sg_war_council_briefs,108,108_aadc_phase6.sql
113_kanban_vibe_tier1,113,113_aadc_compliance.sql
120_ops_hub,120,120_kanban_alert_queue
135_sdc_designs,135,135_ohc_runbooks
136_qdc_metrics,136,136_gameday_ai_league
139_govlift_map_assessment.sql,139,139_fisma_ir
139_govlift_rbac_roles,139,139_fisma_ir
139_mfa_enforcement,139,139_fisma_ir
139_qdc_metrics.sql,139,139_fisma_ir
158_sg_leadership_briefs,158,158_conflict_predictions
161_sdc_rag_stigs,161,161_sdc_compliance_timeline
163_groups_canvas_access.sql,163,163_domain_coverage
173_white_team_review_type.py,173,173_cpmp_obligation_periods.py
179_kanban_task_revivals.py,179,179_integrity_tables.py
184_creative_gap_innovation_signal.sql,184,184_coworkers_canvas_tables.sql
184_memory_fts5,184,184_coworkers_canvas_tables.sql
188_genesis_phase_log.sql,188,188_genesis_outputs
189_genesis_phase_log,189,189_dd_pii_scans.sql
207_tenant_component_overrides,207,207_mcip_dat_tables.sql
210_sso,210,210_showcase_apps.sql
212_idr_suggested_classification.sql,212,212_data_residency
215_user_preferences,215,215_api_keys
223_user_identity.sql,223,223_agent_evals.sql
223_wfc_doc_regen.sql,223,223_agent_evals.sql
236_rfi_workbench.sql,236,236_personal_rag.sql
247_dashboard_users_role_check,247,247_cpmp_int_coverage_tenant_id.sql
257_idr_dic_doc_link.sql,257,257_doc_modernization.sql
269_kg_empty_graph_counts.sql,269,269_kg_embedding_vec_backfill
282_insider_risk_uba.sql,282,282_docmod_nist_pubs.sql
